County ,State,Crime Rate,lat,lon
Visalia,CA,2649.7,,
Waco,TX,2987,,
Walla Walla,WA,2664,46.2298,-118.4784
Warner Robins,GA,3522.1,,
Washington-Arlington-Alexandria,DC,1626.1,,
Frederick-Gaithersburg-Rockville,MD,1509.3,,
Washington-Arlington-Alexandria,DC,1700.3,,
Watertown-Fort Drum,NY,1680.5,,
Wausau-Weston,WI,1140.8,,
Weirton-Steubenville,WV,1506.4,,
Wenatchee,WA,1249.9,,
Wichita,KS,781.2,38.4821,-101.3474
Wichita Falls,TX,2883.9,,
Wilmington,NC,2561.6,,
Winchester,VA,1443.9,39.1735,-78.1746
Worcester,MA,1375.6,42.3514,-71.9077
Yakima,WA,2878.7,46.4571,-120.7385
Yuba City,CA,2830.2,,
Yuma,AZ,2008.4,32.7695,-113.9056
